id,route,latitude,longitude
475,5,2.991297327,101.7221063
476,5,2.991236068,101.7230573
477,5,2.991248077,101.7232016
478,5,2.991246576,101.7232106
479,5,2.991381667,101.7235608
480,5,2.991999919,101.7241379
481,5,2.992192213,101.7242928
482,5,2.992603606,101.7246835
483,5,2.992662205,101.7246577
484,5,2.992686991,101.7245965
485,5,2.992663857,101.7245385
486,5,2.992407733,101.7241695
487,5,2.992409385,101.7241216
488,5,2.992440781,101.7240818
489,5,2.99274813,101.7238336
490,5,2.992776221,101.723837
491,5,2.992802398,101.7238537
492,5,2.993040764,101.724148
493,5,2.993027444,101.7241916
494,5,2.992665428,101.7244998
495,5,2.992697067,101.7245461
496,5,2.992705992,101.7245916
497,5,2.992702746,101.724629
498,5,2.992680031,101.7246761
499,5,2.992611072,101.7247118
500,5,2.992585111,101.7247037
501,5,2.992536434,101.7246655
502,5,2.992421233,101.7245347
503,5,2.992255337,101.7243698
504,5,2.992140608,101.7242841
505,5,2.991771788,101.7240043
506,5,0.9915500435,101.7238072
507,5,2.991313591,101.7234934
508,5,2.991279651,101.7234186
509,5,2.991224214,101.7232192
510,5,2.991209507,101.7230957
511,5,2.99121177,101.7230878
512,5,2.991227609,101.7226312
513,5,0.9912835046,101.7220039
514,5,2.991300475,101.7219314
515,5,2.991311788,101.7218622
516,5,2.991333284,101.721809
517,5,2.991411347,101.721707
518,5,2.991812594,101.7214328
519,5,2.991965801,101.7213015
520,5,2.992062418,101.7211342
521,5,2.992457645,101.7202737
522,5,2.992457645,101.7201146
523,5,2.992405343,101.7199944
524,5,2.992461519,101.7198838
525,5,2.992554499,101.7198489
526,5,2.992568546,101.7198141
527,5,2.992699744,101.7192317
528,5,2.992691991,101.7190671
529,5,2.992631899,101.7189958
530,5,2.992549669,101.7189341
531,5,2.992459531,101.7189103
532,5,2.992476926,101.7191558
533,5,2.992453206,101.7194028
534,5,2.992410509,101.7195469
535,5,2.992299064,101.7198034
536,5,2.992235744,101.7199029
537,5,2.992131822,101.7200118
538,5,2.991922999,101.7201898
539,5,2.991816217,101.7202452
540,5,2.991387269,101.7203947
541,5,2.991133873,101.7204068
542,5,2.990545381,101.7203575
543,5,2.989625415,101.7202004
544,5,2.98959714,101.7202099
545,5,2.989277941,101.720318
546,5,2.988869055,101.7206502
547,5,2.988732759,101.7209051
548,5,2.988411308,101.722069
549,5,2.988321301,101.7224347
550,5,2.988124167,101.7234489
551,5,2.988043095,101.7237416
552,5,2.988031783,101.7238983
553,5,2.987935628,101.7243042
554,5,2.98782337,101.7248234
555,5,2.987742298,101.725133
556,5,2.98742178,101.7264584
557,5,2.987163481,101.7276969
558,5,2.987169137,101.7278328
559,5,2.98722947,101.7283275
560,5,2.987387843,101.7287919
561,5,2.988344088,101.7304573
562,5,2.988365186,101.7306491
563,5,2.987982471,101.730854
564,5,2.98780912,101.7309076
565,5,2.987314785,101.7309723
566,5,2.986591924,101.7309503
567,5,2.986389048,101.7309686
568,5,2.985275154,101.7313195
569,5,2.984603457,101.7315714
570,5,2.983339049,101.7322833
571,5,2.983139754,101.7324055
572,5,2.982970557,101.732624
573,5,2.982770782,101.7335201
574,5,2.982687381,101.7337632
575,5,2.982885568,101.7338427
576,5,2.982985427,101.7338647
577,5,2.983050376,101.7338647
578,5,2.983256727,101.7337962
579,5,2.983321264,101.733795
580,5,2.983999791,101.7339808
581,5,2.984080718,101.7340793
582,5,2.984260725,101.7347385
583,5,2.984495111,101.7355883
584,5,2.98360203,101.7358424
585,5,2.982735541,101.7360876
586,5,2.982404865,101.7349773
587,5,2.982422155,101.7349124
588,5,2.982462606,101.7348765
589,5,2.982965632,101.7347151
